[ 0.2985226  -0.16634605  0.32045558]
[ 0.23274398 -0.2847559   0.25973257]
[ 0.19897376 -0.27604908  0.1499438 ]
[ 0.22619733 -0.30760965  0.15316778]
[ 0.28151631 -0.34710416  0.18236849]
[ 0.33805274 -0.35351856  0.22542662]
[ 0.35784551 -0.3460781   0.24145712]
[ 0.38458587 -0.32190315  0.26265526]
[ 0.39397381 -0.28835011  0.27086725]
[ 0.37846471 -0.2750511   0.26982015]
[ 0.38199603 -0.27670161  0.26674056]
[ 0.41843039 -0.28258474  0.26187038]
[ 0.43721913 -0.28199949  0.2714605 ]
[ 0.46483157 -0.27505827  0.30000424]
[ 0.47875307 -0.27007044  0.29978568]
[ 0.50293303 -0.26091281  0.29958568]
[ 0.52855776 -0.25031727  0.29946397]
[ 0.54752416 -0.24232808  0.29983314]
[ 0.55342837 -0.23997297  0.30013089]
[ 0.60152101 -0.24526562  0.30547189]
[ 0.63544141 -0.23314268  0.30853538]
[ 0.64262731 -0.2208056   0.30771138]
[ 0.64348483 -0.19911412  0.31777214]
[ 0.64195662 -0.18308167  0.34505568]
[ 0.64195662 -0.18308167  0.34505568]
