[ 0.21213012 -0.00881843  0.12082677]
[ 0.23138732 -0.04743609  0.12250815]
[ 0.24343945 -0.09896867  0.12567373]
[ 0.24294453 -0.15736135  0.13097509]
[ 0.22727714 -0.22017197  0.13934325]
[ 0.20154642 -0.27211959  0.14909362]
[ 0.20179215 -0.27592792  0.15300593]
[ 0.22371472 -0.27263189  0.18508326]
[ 0.24483486 -0.26300175  0.22098031]
[ 0.25142845 -0.25837473  0.23295129]
[ 0.27506424 -0.23283845  0.27883225]
[ 0.28646905 -0.21349417  0.2999922 ]
[ 0.29050619 -0.21138143  0.30100559]
[ 0.29701607 -0.20786237  0.3022674 ]
[ 0.31247319 -0.19883764  0.30432832]
[ 0.32470722 -0.19080759  0.3050238 ]
[ 0.33959647 -0.18010078  0.3047416 ]
[ 0.35604445 -0.16692178  0.30322073]
[ 0.36546316 -0.15861126  0.30168403]
[ 0.37314529 -0.15142665  0.30018315]
[ 0.37391638 -0.15063959  0.30046034]
[ 0.37369903 -0.15050286  0.3033997 ]
[ 0.37371332 -0.15048694  0.3033721 ]
[ 0.37395327 -0.15065271  0.30036175]
[ 0.37559592 -0.14998371  0.30019545]
[ 0.38783777 -0.14479699  0.30105058]
[ 0.40331808 -0.13775013  0.30179913]
[ 0.42492711 -0.12695855  0.30198587]
[ 0.43904402 -0.11935729  0.30143894]
[ 0.45306117 -0.1113126   0.30051626]
[ 0.45793353 -0.1083786   0.29992465]
[ 0.49327145 -0.08836007  0.27049363]
[ 0.51107045 -0.07850486  0.25843538]
[ 0.5403376  -0.06641966  0.2454188 ]
[ 0.5420425  -0.06598848  0.24495508]
