[0.21549745 0.00051627 0.12273539]
[ 0.28693138 -0.00956396  0.1443461 ]
[ 0.31565923 -0.05208039  0.1569447 ]
[ 0.29265111 -0.13142615  0.15356902]
[ 0.22203963 -0.24501394  0.1485538 ]
[ 0.21046329 -0.27215388  0.15219447]
[ 0.30187513 -0.25811277  0.19116229]
[ 0.34792807 -0.26681122  0.24889306]
[ 0.35044845 -0.26950524  0.26711698]
[ 0.3305089  -0.2564142   0.29609814]
[ 0.30847969 -0.21257513  0.30006786]
[ 0.34513864 -0.19572705  0.30207234]
[ 0.37596779 -0.17805945  0.2994648 ]
[ 0.41762095 -0.1477135   0.30005026]
[ 0.41766039 -0.14761854  0.29995008]
[ 0.41769506 -0.14768079  0.29996479]
[ 0.41768689 -0.1477284   0.29996798]
[ 0.4510648  -0.14098805  0.30500084]
[ 0.49333398 -0.1270911   0.30376719]
[ 0.53503535 -0.10348641  0.29674343]
[ 0.60201391 -0.0638081   0.25579318]
[ 0.64205971 -0.06602756  0.24492274]
[ 0.64205971 -0.06602756  0.24492274]
